@@,itemlabel,item,startdate,enddate
+++,Abdul Razak Hussein,Q264516,1957-08-31,1970-09-22
+++,Hamzah Abu Samah,Q335366,1973-08-13,1974-09-14
+++,Abdul Razak Hussein,Q264516,1974,1976
+++,Mustapha Harun,Q201124,1974-09-15,1974
+++,Hussein Onn,Q529391,1976,1978
+++,Abdul Taib Mahmud,Q1015710,1978,1979
+++,Hussein Onn,Q529391,1979,1981-07-16
->,Mahathir Mohamad,Q181383,1981-07-18->1981-07-17,1986-05-06
+++,Abdullah Ahmad Badawi,Q272588,1986-08-11,1987-05-07
+++,Ahmad Rithauddeen Ismail,Q4072989,1987-05-20,1990-10-26
+++,Najib Razak,Q57675,1990-10-27,1995-05-07
+++,Syed Hamid Albar,Q3176113,1995-05-08,1999-12-14
+++,Najib Razak,Q57675,1999-12-15,2008-03-18
---,Abdullah Ahmad Badawi,Q272588,2008,2009
+++,Abdullah Ahmad Badawi,Q272588,2008-03-19,2009-04-09
->,Ahmad Zahid Hamidi,Q4695503,2009-04-10,2013-05-16->2013-05-15
+++,Ismail Sabri Yaakob,Q6084858,2020-03-10,2021-07-07
->,Ismail Sabri Yaakob,Q6084858,2020-03-20->2021-07-07,2021-08-16
