wdid,name,wdLabel,source,sourceDate,pid,position,psid
Q20451202,Idris Ahmad,Idris Ahmad,https://en.wikipedia.org/wiki/Idris_Ahmad_(politician),2021-08-27,Q24949267,Minister in the Prime Minister's Department (Religious Affairs),Q20451202-D4EC6838-590C-41EF-ACFC-5042D11F2B5D
Q468579,Wan Azizah Wan Ismail,Wan Azizah Wan Ismail,,,Q5261073,Deputy Prime Minister of Malaysia,Q468579-4174bfe6-4a00-3f59-3c57-f3dc71dfe41b
Q55760030,Mohd. Redzuan Md. Yusof,Mohd. Redzuan Md. Yusof,,,Q24949267,Minister in the Prime Minister's Department,Q55760030-63bf2012-4ed1-92f6-fd67-147477633188
Q5772615,Hishammuddin Hussein,Hishammuddin Hussein,https://en.wikipedia.org/wiki/Hishammuddin_Hussein,2021-08-27,Q20449744,Minister of Defence,Q5772615-6B585D75-0B6B-43E6-A035-AF6BF0C2E9C5
Q6084858,Ismail Sabri Yaakob,Ismail Sabri Yaakob,,,Q862559,Prime Minister of Malaysia,Q6084858-50ba8716-4b13-72d9-e95f-ea00df4e8102
Q61630007,Solomon Dalung,Solomon Dalung,,,Q30601401,Minister of Youth and Sports,Q61630007-7291565f-4c1e-40b9-9885-a00a57a57e1e
Q6653321,Maximus Ongkili,Maximus Ongkili,,,Q24949267,Minister in the Prime Minister's Department,Q6653321-57fb1384-493d-9f90-9332-de163dc1fe76
Q73962,Mohamed Azmin Ali,Mohamed Azmin Ali,https://en.wikipedia.org/wiki/Mohamed_Azmin_Ali,2021-08-27,Q25240869,Minister of International Trade and Industry,Q73962-414D2C97-4C65-4FD7-AAB9-56B34A55E31F
Q7967007,Wan Junaidi Tuanku Jaafar,Wan Junaidi Tuanku Jaafar,https://en.wikipedia.org/wiki/Wan_Junaidi,2021-08-27,Q24949267,Minister in the Prime Minister's Department (Parliament and Law),Q7967007-BBC3DC92-E626-4804-B08E-86162292B0B8
Q8064320,Zafrul Aziz,Zafrul Aziz,https://en.wikipedia.org/wiki/Tengku_Zafrul_Aziz,2021-08-27,Q25241999,Minister of Finance,Q8064320-FF531177-B90D-4CB0-903D-7F2C57252A55
