item,itemLabel,startDate,endDate
Q6526284,Leong Yew Koh,1955,1956
Q6526284,Leong Yew Koh,1956,1957
Q3524210,V. T. Sambanthan,1957,1959
Q1854882,Omar Ong Yoke Lin,1959,1960
Q4204513,Abdul Aziz Ishak,1960,1962
Q6548757,Lim Swee Aun,1962-08-01,1962-10-10
Q12681922,Abdul Rahman Talib,1962,1964
,Bahaman Samsudin,1964,1968
,Ng Kam Poh,1968,1969
Q277952,Sardon Jubir,1969-06-04,1972-01-01
,Lee Siok Yew,1972,1978
Q7321947,Chong Hon Nyan,1978,1982
,Mak Hon Kam,1982,1987
,Chan Siang Sun,1987,1989
,Ng Cheng Kiat,1989,1990
Q6514320,Lee Kim Sai,1990,1995
Q5115192,Chua Jui Meng,1995,2004
Q911132,Chua Soi Lek,2004,2007
Q1049213,Liow Tiong Lai,2008,2013
Q10045531,Subramaniam Sathasivam,2013-05-16,2018-05-09
Q5320031,Dzulkefly Ahmad,2018-05-21,2020-02-24
Q55847609,Adham Baba,2020-03-10,2021-08-16
Q1449940,Khairy Jamaluddin,2021-08-30,
