item,itemLabel,startDate,endDate,sourceDate,psid
Q5115192,Chua Jui Meng,1995,2004,2022-04-13,Q5115192-61B2936E-4334-41DC-A9BA-84E396856613
Q911132,Chua Soi Lek,2004,2007,2022-04-13,Q911132-89A28D04-04D6-4D58-B18F-ECEFF8CD021B
Q1049213,Liow Tiong Lai,2008-03-18,2013-05-05,,Q1049213-04ff1fb5-4176-eefa-5a66-37e50c28a08b
Q10045531,Subramaniam Sathasivam,2013-05-16,2018-05-09,2022-04-13,Q10045531-92331E57-E862-449C-892E-C58968A0DC6B
Q5320031,Dzulkefly Ahmad,2018-05-21,2020-02-24,2022-04-13,Q5320031-E01BA0EF-BDBA-42BB-BFC8-009146269690
Q55847609,Adham Baba,2020-03-10,2021-08-16,2022-04-13,Q55847609-178618B2-D696-46DB-B756-F4A880C32A1D
Q1449940,Khairy Jamaluddin,2021-08-30,,,Q1449940-B9C0D25F-94C9-4ADF-A5A7-3AB5BB95D883
