@@,itemlabel,item,startdate,enddate
+++,Henry Lee Hau Shik,Q5724797,1957-08-31,1959-08-22
+++,Tan Siew Sin,Q2391961,1959-08-22,1974-04-08
+++,Hussein Onn,Q529391,1974,1976
+++,Tengku Razaleigh Hamzah,Q7699810,1976,1984
+++,Daim Zainuddin,Q787441,1984-07-14,1991-03-15
+++,Anwar Ibrahim,Q299574,1991-03-15,1998-09-02
+++,Mahathir Mohamad,Q181383,1998-09-02,1999-01-07
+++,Daim Zainuddin,Q787441,1999-01-07,2001-05-31
+++,Mahathir Mohamad,Q181383,2001-06-05,2003-11-02
+++,Jamaluddin Jarjis,Q6127705,2002-11-20,2004-03-26
+++,Abdullah Ahmad Badawi,Q272588,2003-11-03,2008-09-23
+++,Nor Mohamed Yakcop,Q7050030,2004-03-27,2009-04-09
+++,Najib Razak,Q57675,2008-09-23,2018-05-09
+++,Ahmad Husni Hanadzlah,Q4695341,2009-04-10,2016-06-27
+++,Johari Abdul Ghani,Q17708813,2016-06-27,2018-05-09
->,Mohamed Azmin Ali->Lim Guan Eng,Q73962->Q707164,2018-05-21,2020-02-24
->,Zafrul Aziz->Tengku Zafrul Aziz,Q8064320,2020-03-10,2021-08-16
---,Zafrul Aziz,Q8064320,2021-08-30,
