pageid,title
1844266,Mustapa Mohamed
2443762,Khairy Jamaluddin
2706373,Hishammuddin Hussein
7551887,Maximus Ongkili
7553539,Rais Yatim
8703527,Abdul Taib Mahmud
17108474,Azmin Ali
17539552,Tengku Zafrul Aziz
18510731,Wee Ka Siong
20882603,Mahdzir Khalid
25647087,Hamzah Zainudin
25692948,Saravanan Murugan
25731749,Saifuddin Abdullah
25743896,Ismail Sabri Yaakob
25758878,Noh Omar
25769964,Zuraida Kamaruddin
25955055,Abdullah of Pahang
25995916,Noraini Ahmad
26008162,Abdul Latiff Ahmad
26008444,Halimah Mohamed Sadique
26018948,Shahidan Kassim
26801422,Ronald Kiandee
26840630,Wan Junaidi
26856176,Fadillah Yusof
26931530,Nancy Shukri
26981097,Douglas Uggah Embas
27091550,Alexander Nanta Linggi
35815011,Annuar Musa
39392347,Ahmad Yakob
44639090,Reezal Merican Naina Merican
45694994,Tuan Ibrahim
52854931,Abang Abdul Rahman Johari Abang Openg
53096280,Sim Kui Hian
55094453,Ahmad Faizal Azumu
57396707,Ahmad Samsuri Mokhtar
57509222,Rina Harun
58557020,Nor Shamsiah Mohd Yunus
59150283,Takiyuddin Hassan
60001572,Radzi Jidin
62851629,Affendi Buang
63301597,Idrus Harun
63566599,Adham Baba
64496468,Awang Tengah Ali Hasan
64531326,Azhar Azizan Harun
66174360,Idris Ahmad (politician)
