name,position
YAB DATO' SRI ISMAIL SABRI BIN YAAKOB,Perdana Menteri
YB DATO' SERI MOHAMED AZMIN BIN ALI,Menteri Kanan
YB DATO' SERI MOHAMED AZMIN BIN ALI,Menteri Kanan Perdagangan Antarabangsa dan Industri
YB DATO' SERI HISHAMMUDDIN BIN TUN HUSSEIN,Menteri Kanan
YB DATO' SERI HISHAMMUDDIN BIN TUN HUSSEIN,Menteri Kanan Pertahanan
YB SENATOR TENGKU DATUK SERI UTAMA ZAFRUL BIN TENGKU ABDUL AZIZ,Menteri Kewangan
YB DATO' SRI HAJI FADILLAH BIN HAJI YUSOF,Menteri Kanan
YB DATO' SRI HAJI FADILLAH BIN HAJI YUSOF,Menteri Kanan Kerja Raya
YB SENATOR DATUK DR. MOHD RADZI BIN MD JIDIN,Menteri Kanan
YB SENATOR DATUK DR. MOHD RADZI BIN MD JIDIN,Menteri Kanan Pendidikan
YB DATUK SERI IR. DR. WEE KA SIONG,Menteri Pengangkutan
YB DATUK SERI SARAVANAN A/L MURUGAN,Menteri Sumber Manusia
YB DATUK SERI PANGLIMA DR. JOHNITY @ MAXIMUS BIN ONGKILI,Pejabat Menteri di Jabatan Perdana Menteri (Hal Ehwal Sabah dan Sarawak)
YB DATUK SERI DR. RONALD KIANDEE,Menteri Pertanian dan Industri Makanan
YB DATO' SRI TUAN IBRAHIM BIN TUAN MAN,Menteri Alam Sekitar Dan Air
YB DATO' SERI HAMZAH BIN ZAINUDIN,Menteri Dalam Negeri
YB DATO SRI ALEXANDER NANTA LINGGI,Menteri Perdagangan Dalam Negeri dan Hal Ehwal Pengguna
YB DATUK SERI TAKIYUDDIN BIN HASSAN,Menteri Tenaga dan Sumber Asli
YB DATUK SERI DR. NORAINI BINTI AHMAD,Menteri Pengajian Tinggi
YB DATUK SERI RINA BINTI MOHD HARUN,"Menteri Pembangunan Wanita, Keluarga dan Masyarakat"
YB TAN SRI DATUK SERI PANGLIMA TPr. HAJI ANNUAR BIN HAJI MUSA,Menteri Komunikasi dan Multimedia
YB DATO' SRI REEZAL MERICAN BIN NAINA MERICAN,Menteri Perumahan dan Kerajaan Tempatan
YB TUAN KHAIRY JAMALUDDIN ABU BAKAR,Menteri Kesihatan
YB DATUK HALIMAH BINTI MOHD SADIQUE,Menteri Perpaduan Negara
YB DATO' SRI DR. ADHAM BIN BABA,"Menteri Sains, Teknologi dan Inovasi"
YB DATO' SRI MUSTAPA BIN MOHAMED,Menteri di Jabatan Perdana Menteri (Ekonomi)
YB DATO' SRI SAIFUDDIN BIN ABDULLAH,Menteri Luar Negeri
YB DATUK HAJAH ZURAIDA BINTI KAMARUDDIN,Menteri Perusahaan Perladangan dan Komoditi
YB DATUK DR. HJ ABD LATIFF BIN HJ AHMAD,Menteri di Jabatan Perdana Menteri (Tugas-Tugas Khas)
YB DATO SRI DR. HAJI WAN JUNAIDI BIN TUANKU JAAFAR,Menteri di Jabatan Perdana Menteri (Parlimen dan Undang-Undang)
YB DATO' SRI HAJAH NANCY BINTI SHUKRI,"Menteri Pelancongan, Seni dan Budaya"
YB DATO' SERI MAHDZIR BIN KHALID,Menteri Pembangunan Luar Bandar
YB TAN SRI NOH BIN HJ. OMAR,Menteri Pembangunan Usahawan dan Koperasi
YB DATO' SERI DR. SHAHIDAN BIN KASSIM,Menteri Wilayah Persekutuan
YB DATO' SERI AHMAD FAIZAL BIN AZUMU,Menteri Belia dan Sukan
YB SENATOR DATUK HAJI IDRIS BIN HAJI AHMAD,Menteri di Jabatan Perdana Menteri (Hal Ehwal Agama)
